test_01_top_menu,,,
,,,
test_02_left_menu,,,
,,,
test_03_modules_menu,,,
TypeOrListType,"<td><a href=""/pt-br/docs/type-163"">TypeOrListType</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-313/
TypeOrListType,"<td><a href=""/pt-br/docs/type-163"">TypeOrListType</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-313/
ListT_Entity,"<td><a href=""/pt-br/docs/type-50"">ListT_Entity</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-313/
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-349/
entity,"<td><a href=""/pt-br/docs/type-240"">entity</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-349/
/pt-br/docs/api-1-349/,图元块中，没有切换pc按钮,False,
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-350/
entity,"<td><a href=""/pt-br/docs/type-240"">entity</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-350/
String,"<td><a href=""/pt-br/docs/type-5"">String</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-350/
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-351/
entity,"<td><a href=""/pt-br/docs/type-240"">entity</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-351/
String,"<td><a href=""/pt-br/docs/type-5"">String</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-351/
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-352/
entity,"<td><a href=""/pt-br/docs/type-240"">entity</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-352/
String,"<td><a href=""/pt-br/docs/type-5"">String</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-352/
Bool,"<td><a href=""/pt-br/docs/type-2"">Bool</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-352/
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-354/
entity,"<td><a href=""/pt-br/docs/type-240"">entity</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-354/
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-373/
Player,"<td><a href=""/pt-br/docs/type-14"">Player</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-373/
AudioType,"<td><a href=""/pt-br/docs/enum#tipo-de-efeito-sonoro"">AudioType</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-373/
/pt-br/docs/api-1-373/,颜色错了,False,现在的颜色是:#48484d
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-413/
Entity,"<td><a href=""/pt-br/docs/type-10"">Entity</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-413/
Bool,"<td><a href=""/pt-br/docs/type-2"">Bool</a></td>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-413/
API,"<a data-v-3385579a="""" href=""/pt-br/docs/api/"" class=""breadcrumb-link"">API</a>",False,https://ffcraftland.garena.com/pt-br/docs/api-1-435/
